"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 09 12:16:19 CST 2020","Thu Apr 09 12:16:21 CST 2020","1810","tests.testLogin","test_smsInc","","","","test_pwSuc[testData0]",""
"passed","Thu Apr 09 12:15:59 CST 2020","Thu Apr 09 12:16:01 CST 2020","1754","tests.testLogin","test_pwInc","","","","test_pwSuc[testData0]",""
"passed","Thu Apr 09 12:15:36 CST 2020","Thu Apr 09 12:15:42 CST 2020","6024","tests.testLogin","test_logoutSuc","","","","test_pwSuc[testData0]",""
"passed","Thu Apr 09 12:15:50 CST 2020","Thu Apr 09 12:15:51 CST 2020","1493","tests.testLogin","test_phoneInc","","","","test_pwSuc[testData0]",""
"passed","Thu Apr 09 12:16:08 CST 2020","Thu Apr 09 12:16:12 CST 2020","3687","tests.testLogin","test_pwSuc","","","","test_pwSuc[testData0]",""
